C:\Users\yichu\Anaconda3\envs\tensorflow\python.exe "C:\Program Files\JetBrains\PyCharm 2018.1.4\helpers\pydev\pydevconsole.py" 56442 56443
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['C:\\Users\\yichu\\Documents\\Projects\\Deep Learning\\dlproject', 'C:/Users/yichu/Documents/Projects/Deep Learning/dlproject'])
Python 3.6.5 |Anaconda, Inc.| (default, Mar 29 2018, 13:32:41) [MSC v.1900 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 6.3.1 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 6.3.1
Python 3.6.5 |Anaconda, Inc.| (default, Mar 29 2018, 13:32:41) [MSC v.1900 64 bit (AMD64)] on win32
runfile('C:/Users/yichu/Documents/Projects/Deep Learning/dlproject/models/model_1_training.py', wdir='C:/Users/yichu/Documents/Projects/Deep Learning/dlproject/models')
file exists
(LSTMStateTuple(c=<tf.Tensor 'MultiRNNCellZeroState/DropoutWrapperZeroState/BasicLSTMCellZeroState/zeros:0' shape=(100, 512) dtype=float32>, h=<tf.Tensor 'MultiRNNCellZeroState/DropoutWrapperZeroState/BasicLSTMCellZeroState/zeros_1:0' shape=(100, 512) dtype=float32>), LSTMStateTuple(c=<tf.Tensor 'MultiRNNCellZeroState/DropoutWrapperZeroState_1/BasicLSTMCellZeroState/zeros:0' shape=(100, 512) dtype=float32>, h=<tf.Tensor 'MultiRNNCellZeroState/DropoutWrapperZeroState_1/BasicLSTMCellZeroState/zeros_1:0' shape=(100, 512) dtype=float32>))
<tensorflow.python.ops.rnn_cell_impl.MultiRNNCell object at 0x000001ED1E6BE0B8>
X shape: Tensor("Reshape:0", shape=(10000, 512), dtype=float32) and W shape: <tf.Variable 'softmax/Variable:0' shape=(512, 96) dtype=float32_ref>
WARNING:tensorflow:From C:\Users\yichu\Documents\Projects\Deep Learning\dlproject\models\CharRNN.py:166: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.
See @{tf.nn.softmax_cross_entropy_with_logits_v2}.
2018-08-11 12:58:45.821749: I T:\src\github\tensorflow\tensorflow\core\platform\cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
2018-08-11 12:58:46.019387: I T:\src\github\tensorflow\tensorflow\core\common_runtime\gpu\gpu_device.cc:1392] Found device 0 with properties: 
name: Quadro M2200 major: 5 minor: 2 memoryClockRate(GHz): 1.036
pciBusID: 0000:01:00.0
totalMemory: 4.00GiB freeMemory: 3.33GiB
2018-08-11 12:58:46.019850: I T:\src\github\tensorflow\tensorflow\core\common_runtime\gpu\gpu_device.cc:1471] Adding visible gpu devices: 0
2018-08-11 12:58:46.382990: I T:\src\github\tensorflow\tensorflow\core\common_runtime\gpu\gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-08-11 12:58:46.383276: I T:\src\github\tensorflow\tensorflow\core\common_runtime\gpu\gpu_device.cc:958]      0 
2018-08-11 12:58:46.383460: I T:\src\github\tensorflow\tensorflow\core\common_runtime\gpu\gpu_device.cc:971] 0:   N 
2018-08-11 12:58:46.383726: I T:\src\github\tensorflow\tensorflow\core\common_runtime\gpu\gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 3054 MB memory) -> physical GPU (device: 0, name: Quadro M2200, pci bus id: 0000:01:00.0, compute capability: 5.2)
Epoch: 1/20 Training Steps: 500... Training loss: 2.1921005249023438... 0.4324 sec/batch
Epoch: 1/20 Training Steps: 1000... Training loss: 1.7134379148483276... 0.4674 sec/batch
Epoch: 1/20 Training Steps: 1500... Training loss: 1.603501796722412... 0.4637 sec/batch
Epoch: 1/20 Training Steps: 2000... Training loss: 1.5917366743087769... 0.4689 sec/batch
Epoch: 1/20 Training Steps: 2500... Training loss: 1.4020832777023315... 0.4709 sec/batch
Epoch: 1/20 Training Steps: 3000... Training loss: 1.4124345779418945... 0.4881 sec/batch
Epoch: 1/20 Training Steps: 3500... Training loss: 1.3757294416427612... 0.4686 sec/batch
Epoch: 1/20 Training Steps: 4000... Training loss: 1.3294756412506104... 0.4686 sec/batch
Epoch: 1/20 Training Steps: 4500... Training loss: 1.3559167385101318... 0.4686 sec/batch
Epoch: 1/20 Training Steps: 5000... Training loss: 1.3681632280349731... 0.4735 sec/batch
Epoch: 2/20 Training Steps: 5500... Training loss: 1.334243893623352... 0.4674 sec/batch
Epoch: 2/20 Training Steps: 6000... Training loss: 1.2613396644592285... 0.4686 sec/batch
Epoch: 2/20 Training Steps: 6500... Training loss: 1.2910408973693848... 0.4548 sec/batch
Epoch: 2/20 Training Steps: 7000... Training loss: 1.3490324020385742... 0.4592 sec/batch
Epoch: 2/20 Training Steps: 7500... Training loss: 1.3173953294754028... 0.4686 sec/batch
Epoch: 2/20 Training Steps: 8000... Training loss: 1.33030104637146... 0.4769 sec/batch
Epoch: 2/20 Training Steps: 8500... Training loss: 1.2850421667099... 0.4470 sec/batch
Epoch: 2/20 Training Steps: 9000... Training loss: 1.4089480638504028... 0.4775 sec/batch
Epoch: 2/20 Training Steps: 9500... Training loss: 1.2509949207305908... 0.4842 sec/batch
Epoch: 2/20 Training Steps: 10000... Training loss: 1.3624480962753296... 0.4687 sec/batch
Epoch: 2/20 Training Steps: 10500... Training loss: 1.273141622543335... 0.4795 sec/batch
Epoch: 3/20 Training Steps: 11000... Training loss: 1.3091800212860107... 0.4737 sec/batch
Epoch: 3/20 Training Steps: 11500... Training loss: 1.2804031372070312... 0.4649 sec/batch
Epoch: 3/20 Training Steps: 12000... Training loss: 1.2425035238265991... 0.4623 sec/batch
Epoch: 3/20 Training Steps: 12500... Training loss: 1.386228322982788... 0.4740 sec/batch
Epoch: 3/20 Training Steps: 13000... Training loss: 1.327937364578247... 0.4530 sec/batch
Epoch: 3/20 Training Steps: 13500... Training loss: 1.2808364629745483... 0.4530 sec/batch
Epoch: 3/20 Training Steps: 14000... Training loss: 1.2312376499176025... 0.4585 sec/batch
Epoch: 3/20 Training Steps: 14500... Training loss: 1.3290122747421265... 0.4530 sec/batch
Epoch: 3/20 Training Steps: 15000... Training loss: 1.2863340377807617... 0.4659 sec/batch
Epoch: 3/20 Training Steps: 15500... Training loss: 1.2255382537841797... 0.4686 sec/batch
Epoch: 4/20 Training Steps: 16000... Training loss: 1.358148455619812... 0.4790 sec/batch
Epoch: 4/20 Training Steps: 16500... Training loss: 1.2872062921524048... 0.4665 sec/batch
Epoch: 4/20 Training Steps: 17000... Training loss: 1.2641414403915405... 0.4687 sec/batch
Epoch: 4/20 Training Steps: 17500... Training loss: 1.2863874435424805... 0.4711 sec/batch
Epoch: 4/20 Training Steps: 18000... Training loss: 1.2608907222747803... 0.4746 sec/batch
